iter	Passed	Remaining
0	5	1703
1	10	1579
2	15	1512
3	20	1499
4	25	1495
5	29	1464
6	34	1462
7	39	1444
8	44	1441
9	48	1415
10	52	1377
11	56	1362
12	60	1340
13	65	1329
14	69	1320
15	73	1313
16	77	1294
17	81	1282
18	85	1268
19	89	1258
20	93	1244
21	97	1237
22	101	1225
23	105	1216
24	109	1203
25	113	1197
26	117	1187
27	121	1181
28	125	1172
29	129	1166
30	133	1156
31	137	1149
32	141	1143
33	145	1136
34	149	1130
35	153	1126
36	157	1118
37	161	1112
38	165	1106
39	169	1102
40	173	1096
41	177	1089
42	181	1085
43	185	1080
44	189	1073
45	193	1068
46	197	1063
47	201	1058
48	206	1057
49	210	1054
50	215	1051
51	219	1046
52	223	1041
53	227	1036
54	232	1033
55	236	1028
56	240	1023
57	243	1016
58	248	1014
59	251	1007
60	256	1003
61	259	996
62	263	992
63	267	987
64	271	982
65	275	976
66	279	970
67	283	965
68	287	961
69	291	956
70	294	950
71	298	945
72	302	941
73	306	935
74	310	931
75	314	927
76	319	925
77	323	920
78	328	917
79	332	913
80	336	910
81	341	907
82	345	903
83	350	900
84	354	896
85	358	891
86	362	886
87	366	882
88	370	878
89	374	873
90	378	869
91	382	865
92	386	861
93	391	856
94	395	852
95	399	848
96	403	844
97	407	840
98	412	837
99	416	833
100	421	829
101	425	825
102	429	821
103	433	817
104	438	813
105	442	809
106	447	806
107	451	802
108	455	798
109	459	794
110	463	789
111	467	784
112	471	779
113	475	775
114	479	771
115	483	767
116	488	763
117	492	759
118	496	754
119	500	750
120	504	745
121	508	741
122	512	736
123	516	732
124	520	728
125	524	723
126	528	719
127	532	715
128	537	712
129	541	707
130	545	703
131	549	699
132	553	695
133	557	690
134	561	686
135	565	681
136	570	678
137	573	673
138	577	669
139	582	665
140	586	661
141	590	657
142	594	652
143	598	648
144	602	644
145	606	640
146	611	636
147	615	631
148	619	627
149	623	623
150	627	619
151	631	614
152	635	610
153	639	606
154	643	602
155	647	598
156	651	593
157	655	589
158	660	585
159	664	581
160	668	577
161	672	572
162	676	568
163	680	564
164	684	560
165	689	556
166	693	551
167	696	547
168	701	543
169	705	539
170	709	535
171	713	531
172	718	527
173	722	523
174	727	519
175	731	515
176	735	511
177	739	507
178	743	502
179	748	498
180	752	494
181	756	490
182	760	486
183	764	482
184	768	477
185	772	473
186	776	469
187	780	465
188	784	460
189	788	456
190	792	452
191	796	448
192	801	444
193	805	440
194	809	436
195	814	432
196	818	428
197	822	423
198	826	419
199	831	415
200	835	411
201	839	407
202	843	402
203	847	399
204	852	395
205	856	390
206	860	386
207	864	382
208	869	378
209	873	374
210	877	370
211	881	365
212	885	361
213	889	357
214	894	353
215	899	349
216	904	345
217	909	342
218	915	338
219	920	334
220	926	331
221	931	327
222	936	323
223	941	319
224	946	315
225	951	311
226	955	307
227	960	303
228	965	299
229	971	295
230	976	291
231	981	287
232	987	283
233	992	280
234	997	275
235	1002	271
236	1007	267
237	1011	263
238	1016	259
239	1021	255
240	1026	251
241	1030	247
242	1035	242
243	1039	238
244	1044	234
245	1049	230
246	1053	226
247	1058	221
248	1063	217
249	1067	213
250	1072	209
251	1077	205
252	1082	201
253	1087	196
254	1091	192
255	1096	188
256	1100	184
257	1105	179
258	1109	175
259	1114	171
260	1118	167
261	1123	162
262	1127	158
263	1131	154
264	1136	150
265	1141	145
266	1146	141
267	1150	137
268	1155	133
269	1160	128
270	1164	124
271	1168	120
272	1172	116
273	1177	111
274	1182	107
275	1186	103
276	1191	98
277	1196	94
278	1201	90
279	1207	86
280	1214	82
281	1220	77
282	1225	73
283	1231	69
284	1235	65
285	1240	60
286	1246	56
287	1250	52
288	1256	47
289	1260	43
290	1265	39
291	1270	34
292	1275	30
293	1280	26
294	1285	21
295	1290	17
296	1295	13
297	1300	8
298	1305	4
299	1309	0
