code,accessible_area,accessible_area_m2pg,occupiable_area,occupiable_area_m2pg,accessible_volume,accessible_volume_pct,occupiable_volume_pct,specific_occupiable_area,lcd,pld,maxdsi,maxdsd_a,maxdsd_b,maxdsd_c,framework_density,a,b,c,alpha,beta,gamma,td10,topological_density,channel_dim,atoms,portals,cages,channels,junctions,connections,vol_accessibility_ratio,area_vol_ratio,pore_anisotropy,confinement_ratio,connections_per_atom,ab_ratio,bc_ratio,CO2_capacity_mmol_g,CO2_N2_selectivity,desorption_energy_kJ_mol,data_source
ABW,86.37,1082.03,86.37,1082.03,23.63,5.19,5.19,1898.46,4.1,4.1,4.24,2.61,3.51,2.61,17.6,9.873,5.254,8.77,90.0,90.0,90.0,833.0,0.703704,1.0,24.0,8.0,0.0,24.0,12.0,36.0,1.0,208.48362235067435,0.17856193892462652,1.0,1.5,1.879139703083365,0.5990877993158494,0.2,12.0,24.0,literature
ACO,242.43,1518.66,242.43,1518.66,84.34,8.68,8.68,2494.75,4.2,4.2,4.58,3.56,3.56,3.56,16.5,9.905,9.905,9.905,90.0,90.0,90.0,787.0,0.666667,3.0,48.0,44.0,2.0,12.0,8.0,12.0,1.0,174.96082949308757,0.0,1.0,0.25,1.0,1.0,0.6586532624804795,33.01567457344232,30.371622592455644,estimated
AEI,699.85,1461.34,705.25,1472.63,552.0,17.31,17.32,2211.26,8.0,4.3,7.33,3.84,3.84,3.64,15.1,13.677,12.607,18.497,90.0,90.0,90.0,689.0,0.583081,3.0,144.0,44.0,8.0,36.0,20.0,96.0,0.9994226327944572,84.42172154823801,0.03060160437400839,0.5375,0.6666666666666666,1.084873482985643,0.6815699843217818,2.3,90.0,35.0,literature
AEL,217.23,544.31,217.23,544.31,141.11,6.77,6.77,1041.96,5.3,5.3,5.64,4.63,2.01,2.01,19.2,8.312,18.729,13.392,90.0,90.0,90.0,904.0,0.766975,1.0,120.0,88.0,0.0,95.0,131.0,366.0,1.0,80.40029542097489,0.5246211694601687,1.0,3.05,0.4438037268407283,1.398521505376344,0.5,14.0,26.0,literature
AEN,315.9,659.63,315.9,659.63,95.96,4.02,4.02,1324.68,5.1,3.7,4.43,1.21,3.38,3.66,20.1,18.531,13.355,9.636,90.0,90.0,90.0,956.0,0.857768,2.0,144.0,132.0,4.0,32.0,24.0,96.0,1.0,164.08706467661693,0.48763893972609496,0.7254901960784315,0.6666666666666666,1.387570198427555,1.3859485263594855,0.4791892980401922,18.200675987676508,27.08322872842288,estimated
AET,413.24,575.25,422.28,587.84,509.36,12.88,12.9,1068.2,8.2,8.2,8.41,1.78,1.78,7.59,18.2,32.829,14.38,8.374,90.0,90.0,90.0,824.0,0.697917,1.0,216.0,160.0,15.0,135.0,276.0,1186.0,0.9984496124031008,44.66226708074534,0.9025305104910472,1.0,5.4907407407407405,2.282962447844228,1.7172199665631718,0.7166088733144029,16.026434733801498,26.226394515918344,estimated
AFG,0.0,0.0,485.08,1012.89,0.0,0.0,10.1,1711.19,7.0,2.7,6.37,2.55,2.55,2.54,16.9,12.548,12.548,20.789,90.0,90.0,120.0,816.0,0.693333,0.0,144.0,136.0,8.0,65.0,39.0,141.0,0.0,81.05164533820842,0.002267082208859739,0.38571428571428573,0.9791666666666666,1.0,0.603588436192217,0.15882946817651372,7.174232007718689,20.25802228049183,estimated
AFI,173.69,725.35,178.71,746.31,199.82,14.07,14.09,1257.95,8.1,8.1,8.3,2.22,2.22,7.42,16.9,13.827,13.827,8.58,90.0,90.0,120.0,828.0,0.7,1.0,72.0,66.0,4.0,18.0,22.0,46.0,0.9985805535841022,51.552949538024166,0.7594151938750557,1.0,0.6388888888888888,1.0,1.6115384615384616,0.7,12.0,24.0,literature
AFN,338.35,1059.75,338.35,1059.75,143.84,7.82,7.82,1839.3,5.9,3.7,5.25,2.85,2.53,2.85,17.4,14.02,13.466,10.202,90.0,107.239,90.0,777.0,0.661111,3.0,96.0,76.0,2.0,63.0,48.0,175.0,1.0,135.51790281329923,0.06734583941944608,0.6271186440677966,1.8229166666666667,1.0411406505272538,1.3199372672025091,0.6,20.0,28.0,literature
AFO,226.65,567.92,226.65,567.92,150.57,7.23,7.23,1088.33,5.6,5.6,5.43,2.21,1.49,5.07,19.2,9.764,25.614,8.327,90.0,90.0,90.0,907.0,0.769676,1.0,120.0,90.0,8.0,68.0,98.0,291.0,1.0,78.55048409405255,0.647754823423941,1.0,2.425,0.3811977824627157,3.076017773507866,0.55,16.0,27.0,literature
AFR,414.17,1297.25,414.17,1297.25,413.86,19.62,19.62,1963.08,7.6,7.6,8.36,1.64,3.77,6.97,15.2,22.305,13.567,6.972,90.0,90.0,90.0,687.0,0.579229,2.0,96.0,38.0,4.0,8.0,10.0,12.0,1.0,66.11875637104994,0.6501229081886405,1.0,0.125,1.6440627994398171,1.9459265633964429,1.2,30.0,30.0,literature
AFS,799.04,1430.12,799.04,1430.12,826.59,21.6,21.6,2087.69,10.2,6.7,9.51,3.76,3.76,6.01,14.6,13.058,13.058,25.919,90.0,90.0,120.0,656.0,0.56875,3.0,168.0,54.0,24.0,14.0,32.0,30.0,1.0,66.20925925925926,0.288035056691055,0.6568627450980393,0.17857142857142858,1.0,0.5038003009375361,1.1,25.0,28.0,literature
AFT,1052.24,1464.77,1059.62,1475.05,826.17,17.28,17.29,2216.55,8.0,4.1,7.75,3.68,3.68,3.68,15.1,13.691,13.691,29.449,90.0,90.0,120.0,685.0,0.585714,3.0,216.0,84.0,10.0,84.0,70.0,228.0,0.9994216310005785,84.7667824074074,0.0,0.5125,1.0555555555555556,1.0,0.46490542972596693,2.1,80.0,36.0,literature
AFV,402.98,1346.34,403.03,1346.49,291.48,15.29,15.29,2114.12,6.9,4.7,7.08,3.46,3.46,2.48,15.7,13.2261,13.2261,12.5838,90.0,90.0,120.0,704.0,0.6981845,2.0,108.0,59.0,6.0,31.0,29.0,72.0,1.0,88.053629823414,0.18057550972526593,0.7083333333333334,0.6477272727272727,1.0,1.0510418156677634,1.2999894097777662,39.68062936205045,30.295654478876596,estimated
AFX,700.71,1463.14,707.12,1476.54,550.95,17.28,17.29,2217.27,7.8,4.1,7.76,3.73,3.73,3.73,15.1,13.674,13.674,19.695,90.0,90.0,120.0,689.0,0.585714,3.0,144.0,60.0,6.0,56.0,56.0,154.0,0.9994216310005785,84.67245370370371,0.0,0.5256410256410257,1.0694444444444444,1.0,0.6942878903274943,2.4,95.0,36.0,literature
