code,accessible_area,accessible_area_m2pg,occupiable_area,occupiable_area_m2pg,accessible_volume,accessible_volume_pct,occupiable_volume,occupiable_volume_pct,specific_accessible_area,specific_occupiable_area,lcd,pld,maxdsi,maxdsd_a,maxdsd_b,maxdsd_c,framework_density,a,b,c,alpha,beta,gamma,td10,topological_density,channel_dim,atoms,portals,cages,channels,junctions,connections
ABW,86.37,1082.03,86.37,1082.03,23.63,5.19,23.63,5.19,1898.46,1898.46,4.1,4.1,4.24,2.61,3.51,2.61,17.6,9.873,5.254,8.77,90.0,90.0,90.0,833.0,0.703704,1,24.0,8.0,0.0,24.0,12.0,36.0
ACO,242.43,1518.66,242.43,1518.66,84.34,8.68,84.34,8.68,2494.75,2494.75,4.2,4.2,4.58,3.56,3.56,3.56,16.5,9.905,9.905,9.905,90.0,90.0,90.0,787.0,0.666667,3,48.0,44.0,2.0,12.0,8.0,12.0
AEI,699.85,1461.34,705.25,1472.63,552.0,17.31,552.38,17.32,2194.31,2211.26,8.0,4.3,7.33,3.84,3.84,3.64,15.1,13.677,12.607,18.497,90.0,90.0,90.0,689.0,0.583081,3,144.0,44.0,8.0,36.0,20.0,96.0
AEL,217.23,544.31,217.23,544.31,141.11,6.77,141.11,6.77,1041.96,1041.96,5.3,5.3,5.64,4.63,2.01,2.01,19.2,8.312,18.729,13.392,90.0,90.0,90.0,904.0,0.766975,1,120.0,88.0,0.0,95.0,131.0,366.0
AEN,315.9,659.63,315.9,659.63,95.96,4.02,95.96,4.02,1324.68,1324.68,5.1,3.7,4.43,1.21,3.38,3.66,20.1,18.531,13.355,9.636,90.0,90.0,90.0,956.0,0.857768,2,144.0,132.0,4.0,32.0,24.0,96.0
AET,413.24,575.25,422.28,587.84,509.36,12.88,509.89,12.9,1045.33,1068.2,8.2,8.2,8.41,1.78,1.78,7.59,18.2,32.829,14.38,8.374,90.0,90.0,90.0,824.0,0.697917,1,216.0,160.0,15.0,135.0,276.0,1186.0
AFG,0.0,0.0,485.08,1012.89,0.0,0.0,286.41,10.1,0.0,1711.19,7.0,2.7,6.37,2.55,2.55,2.54,16.9,12.548,12.548,20.789,90.0,90.0,120.0,816.0,0.693333,0,144.0,136.0,8.0,65.0,39.0,141.0
AFI,173.69,725.35,178.71,746.31,199.82,14.07,200.2,14.09,1222.63,1257.95,8.1,8.1,8.3,2.22,2.22,7.42,16.9,13.827,13.827,8.58,90.0,90.0,120.0,828.0,0.7,1,72.0,66.0,4.0,18.0,22.0,46.0
AFN,338.35,1059.75,338.35,1059.75,143.84,7.82,143.84,7.82,1839.3,1839.3,5.9,3.7,5.25,2.85,2.53,2.85,17.4,14.02,13.466,10.202,90.0,107.239,90.0,777.0,0.661111,3,96.0,76.0,2.0,63.0,48.0,175.0
AFO,226.65,567.92,226.65,567.92,150.57,7.23,150.57,7.23,1088.33,1088.33,5.6,5.6,5.43,2.21,1.49,5.07,19.2,9.764,25.614,8.327,90.0,90.0,90.0,907.0,0.769676,1,120.0,90.0,8.0,68.0,98.0,291.0
